,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
USP1,0.56910515,-0.15064925,0.29162616,0.419946,0.06547719,-0.69817156,0.016342103,0.15587658,0.029040873,-0.2809018,-0.0114142895,-0.11783689,0.10338873,-0.005890429,-0.98067075,0.023056567,0.0427112,0.05850047,-0.05530268,-0.1955226
USP10,-0.14849901,-0.2720356,-0.27736723,-0.24033785,0.20092428,-0.6383985,-0.005751848,0.16145408,0.008696318,-0.013625622,-0.043338537,0.09239912,-0.04155636,0.0045895576,-0.5249083,0.030243397,0.06147921,0.074249506,0.061893463,0.06110668
USP11,1.3420701,-0.17566681,-0.121319294,-0.064468384,-0.15815496,0.26255846,-0.027692318,-0.052297115,-0.03222227,-0.03963709,-0.04874468,0.100302696,0.106823444,0.20354986,0.5696058,-0.03963113,-0.1019001,-0.06552935,0.009894371,-0.12907982
USP12,0.66191554,-0.10822564,0.32757595,0.75503516,-0.038290024,0.59934485,-0.03952384,0.34591332,0.023866445,-0.15989766,0.026861578,-0.03129095,0.38806424,0.27435198,-0.28825328,-0.0068329275,-0.016074628,0.33979416,0.05999282,-0.16462058
USP13,1.1982679,-0.28672814,0.2263248,0.24786592,-0.07787943,-0.033813715,0.01026392,-0.07753968,-0.0336051,-0.09478927,-0.011312962,-0.00808835,-0.0037789345,0.010144711,-0.030249357,-0.069993734,-0.1958251,-0.28847456,-0.053179264,-0.17008185
USP14,1.0692358,-0.11879802,0.38667172,0.52567124,-0.083857775,0.04222393,-0.0020712614,0.0003054738,0.01244843,-0.2377078,-0.03399253,-0.1817748,0.23217201,0.24188757,-0.32818764,0.016698241,-0.06727427,-0.094652176,-0.040972233,-0.30108988
USP15,-0.1606524,-0.02655387,-0.14436245,-0.14409423,0.389719,-0.9144664,-0.0075519085,0.14195442,0.0056505203,0.23632646,0.15266538,0.060284138,-0.0028669834,-0.07940531,-1.160866,0.028437376,0.24122596,0.57533383,0.09628534,0.15736222
USP16,0.8704288,-0.18093884,0.3510043,0.4185632,-0.042568147,-0.7354304,0.018943846,0.08871108,0.0035211444,-0.32157302,-0.046479702,-0.03645122,-0.07790029,0.032402575,-0.58743507,0.038856268,-0.046925247,-0.13776273,-0.079368055,-0.1326114
USP18,1.3480872,0.14549494,0.021281838,0.43580532,-0.24180114,0.35633147,0.016400218,-0.23349226,0.0053167343,-0.21499991,-0.07368624,0.0983268,-0.26580393,0.4621923,0.50763786,0.042954087,-0.0739485,-0.021284819,-0.24742186,-0.26491582
USP19,1.2663424,0.3568977,-0.21091774,-0.25697425,0.02194196,-0.08557886,-0.0040516257,-0.14457852,-0.028571486,-0.2538629,0.021150708,-0.047969818,-0.24695173,-0.1607135,-0.33274665,-0.020973384,0.0076651573,-0.47783628,-0.03916323,-0.050395727
USP20,1.3477206,0.14284253,-0.049883127,0.31203628,0.13777614,0.3911376,-0.02515316,0.13495088,-0.02295971,0.22377968,-0.033837557,0.072067976,-0.016337633,-0.04698634,0.40333867,0.022631884,-0.050717592,-0.3093183,0.009435415,-0.025051832
USP21,1.1612736,-0.05914867,-0.17502233,-0.046002865,-0.3511764,-0.4961744,-0.022995472,0.2716154,0.003079325,-0.30305013,-0.07065609,0.18769503,-0.045593083,-0.0063948333,-0.0026032329,-0.022629648,0.07505044,-0.73357373,-0.06450042,0.026856363
USP22,1.1286781,0.28096884,-0.15120357,-0.20774752,0.0042513013,-0.2886027,0.04387349,-0.032182038,0.0076130033,-0.093479455,0.08883327,-0.045138597,-0.3025025,-0.3259763,-0.60735196,-0.010834634,0.044749677,0.0009924173,0.0030457973,0.052587688
