,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
TIPIN,0.2447769,-0.07868037,0.08182004,0.14096797,-0.017368793,0.022733957,-0.24953708,0.03862381,0.3088452,-0.08231327,-0.0066012144,0.21155253,0.20805895,0.13322383,0.98997205,0.46610832
TIPRL,0.055223703,-0.34872591,0.1942575,-0.25256574,-0.22187531,0.03466308,-0.56224465,0.03400445,-0.40659606,0.23300648,-0.032523274,-0.21280944,0.4169941,-0.046390295,0.70019364,-0.10241866
TIRAP,-0.1925245,-0.026163459,-0.033685565,-0.40662438,0.07713735,0.13201237,-0.22170693,-0.08637607,-0.10435879,0.33348203,-0.057798624,-0.22944957,0.30965507,-0.06369352,0.24895072,-0.6340727
TJAP1,-0.05545318,0.6692201,-0.04762709,0.41292012,-0.168553,-0.11796057,0.2112776,0.4066497,-0.019350648,0.117340684,0.07553697,0.1397878,-0.22173524,0.09885728,1.0327846,0.053596497
TJP1,-0.40979683,-0.0115484,-0.07505119,-0.043535233,0.22113025,-0.04837811,0.018528104,-0.49883425,-0.19492805,-0.06334782,0.5216986,0.5524099,-0.14193356,-0.22211671,0.44065714,0.4291147
TJP3,-0.2338849,0.3791079,0.04684329,0.6320149,-0.145185,-0.40221438,0.089243054,0.5175859,-0.2093494,-0.16789883,0.023782253,-0.25033504,-0.28102547,0.18161237,0.72305053,0.31020567
TK1,0.4146114,0.14657229,-0.017538667,0.07364154,0.092837214,-0.2523765,-0.0674814,0.27976334,0.37078857,0.028963387,-0.03233105,0.7677227,-0.10244548,-0.19797534,0.5484119,0.56598485
TK2,-0.21722764,0.14626831,-0.09819716,-0.54361224,0.0726223,0.23921728,-0.06708503,0.06942749,-0.05374998,0.52205473,-0.12523532,-0.44160932,0.034062564,0.0039324164,-0.05698353,-0.5477533
TKFC,0.20243526,0.704512,-0.19812882,0.11653304,0.052392483,-0.19450188,0.3668219,0.428316,0.24495423,0.2727598,0.11245012,-0.19721389,-0.62410533,0.050085783,0.90661347,0.4885465
TKT,0.5784571,-0.10318458,0.104135275,-0.6596863,0.069743395,0.26658475,0.05146861,0.33627152,0.00020861626,0.3125161,-0.2630353,-0.015574694,0.0882566,-0.07303655,-0.55621266,-0.2710402
TKTL1,0.08788407,0.35758018,0.022247434,0.54091215,-0.08698702,-0.1740694,0.31630993,0.101441145,-0.14051795,-0.33002496,0.09673238,0.3840685,-0.36768615,0.27459264,0.44791698,0.21467507
