pc,eigenvalue,var_explained,cum_var
520,0.9805211,8.609986e-05,0.98227346
521,0.9754636,8.565577e-05,0.9823591
522,0.9742036,8.554512e-05,0.98244464
523,0.97229445,8.537748e-05,0.98253
524,0.9720187,8.535327e-05,0.98261535
525,0.96907055,8.509439e-05,0.98270047
526,0.9667649,8.489194e-05,0.98278534
527,0.9644448,8.46882e-05,0.98287004
528,0.9615674,8.443554e-05,0.9829545
529,0.960596,8.435024e-05,0.98303884
530,0.9558784,8.3935985e-05,0.98312277
531,0.9537612,8.375008e-05,0.9832065
532,0.95355576,8.373203e-05,0.98329026
533,0.9511751,8.352299e-05,0.98337376
534,0.9502596,8.3442595e-05,0.9834572
535,0.94696474,8.3153274e-05,0.98354036
536,0.945352,8.301166e-05,0.9836234
537,0.9432914,8.283072e-05,0.98370624
538,0.9420722,8.272366e-05,0.98378897
539,0.93996,8.253819e-05,0.9838715
540,0.93929476,8.247977e-05,0.983954
541,0.93573076,8.2166815e-05,0.9840362
542,0.9340766,8.2021565e-05,0.9841182
543,0.93138605,8.178531e-05,0.9842
544,0.9310085,8.175215e-05,0.9842818
545,0.92905223,8.158037e-05,0.9843634
546,0.927843,8.147419e-05,0.98444486
547,0.92633355,8.134164e-05,0.9845262
548,0.92374116,8.1114005e-05,0.98460734
549,0.91946554,8.073856e-05,0.9846881
550,0.91814,8.0622165e-05,0.98476875
551,0.91569036,8.040706e-05,0.98484915
552,0.91474813,8.0324324e-05,0.9849295
553,0.91311324,8.018076e-05,0.9850097
554,0.91079843,7.99775e-05,0.98508966
555,0.90898937,7.9818645e-05,0.9851695
556,0.90690607,7.9635705e-05,0.9852491
557,0.905889,7.95464e-05,0.9853287
558,0.9019371,7.919938e-05,0.9854079
559,0.89939636,7.897628e-05,0.98548687
560,0.89891994,7.893444e-05,0.9855658
561,0.8974785,7.8807876e-05,0.9856446
562,0.89594525,7.8673234e-05,0.98572326
563,0.8934494,7.8454075e-05,0.9858017
564,0.8907419,7.8216326e-05,0.9858799
565,0.88993293,7.814529e-05,0.98595804
566,0.8882645,7.799878e-05,0.98603606
567,0.88542664,7.7749595e-05,0.9861138
568,0.882065,7.745441e-05,0.9861912
569,0.8800035,7.7273384e-05,0.98626846
570,0.8797412,7.7250355e-05,0.9863457
571,0.87839824,7.713243e-05,0.98642284
572,0.8767761,7.6989985e-05,0.98649985
573,0.87514025,7.684634e-05,0.9865767
574,0.8724393,7.6609176e-05,0.98665327
575,0.86918247,7.632319e-05,0.98672956
576,0.8678578,7.620687e-05,0.9868058
577,0.86484486,7.59423e-05,0.98688173
578,0.8629826,7.577877e-05,0.9869575
579,0.8614852,7.564729e-05,0.9870331
580,0.85993946,7.5511554e-05,0.98710865
581,0.8584253,7.53786e-05,0.98718405
582,0.85679084,7.5235075e-05,0.98725927
583,0.8564984,7.52094e-05,0.9873345
584,0.8545155,7.503528e-05,0.98740953
585,0.8518936,7.4805044e-05,0.98748434
586,0.8497095,7.461326e-05,0.98755896
587,0.84889776,7.454198e-05,0.9876335
588,0.84715235,7.4388714e-05,0.9877079
589,0.8438259,7.409661e-05,0.987782
590,0.84026104,7.378359e-05,0.9878558
591,0.83847874,7.362708e-05,0.9879294
592,0.8377763,7.35654e-05,0.98800296
593,0.83547777,7.336357e-05,0.9880763
594,0.8346206,7.32883e-05,0.98814964
595,0.83338207,7.3179544e-05,0.98822284
596,0.8311122,7.298023e-05,0.9882958
597,0.83012277,7.2893345e-05,0.9883687
598,0.82585675,7.251874e-05,0.9884412
599,0.8246914,7.241641e-05,0.98851365
600,0.8226717,7.223906e-05,0.9885859
601,0.8223448,7.221036e-05,0.9886581
602,0.8188054,7.189956e-05,0.98872995
603,0.8181943,7.1845905e-05,0.9888018
604,0.81518227,7.158141e-05,0.98887336
605,0.8138458,7.1464056e-05,0.9889448
606,0.81257045,7.135207e-05,0.9890162
607,0.8112135,7.123291e-05,0.9890874
608,0.81008124,7.113349e-05,0.9891585
609,0.80779517,7.093275e-05,0.98922944
610,0.80696595,7.085993e-05,0.9893003
611,0.8056996,7.0748734e-05,0.98937106
612,0.8019865,7.042269e-05,0.98944145
613,0.8000787,7.025516e-05,0.9895117
614,0.79766196,7.004295e-05,0.98958176
615,0.796577,6.994767e-05,0.98965174
616,0.79583466,6.9882495e-05,0.9897216
617,0.79285705,6.9621026e-05,0.9897912
618,0.7906524,6.9427435e-05,0.98986065
619,0.7878091,6.917776e-05,0.98992985
620,0.7860902,6.902683e-05,0.9899989
621,0.7840307,6.8845984e-05,0.9900677
622,0.78322756,6.877546e-05,0.9901365
623,0.7809869,6.857871e-05,0.9902051
624,0.7794907,6.844733e-05,0.99027354
625,0.77691895,6.8221496e-05,0.9903418
626,0.77506375,6.8058594e-05,0.99040985
627,0.7734911,6.79205e-05,0.9904778
628,0.77230257,6.781613e-05,0.99054563
629,0.7708022,6.7684385e-05,0.99061334
630,0.7681582,6.7452216e-05,0.9906808
631,0.76541305,6.7211164e-05,0.99074805
632,0.7643619,6.711886e-05,0.99081516
633,0.7616025,6.687656e-05,0.99088204
634,0.75991464,6.6728346e-05,0.9909488
635,0.758445,6.65993e-05,0.9910154
636,0.7572688,6.649601e-05,0.9910819
637,0.75484484,6.6283166e-05,0.9911482
638,0.75203186,6.6036155e-05,0.9912142
639,0.7501935,6.587472e-05,0.9912801
640,0.7477964,6.566424e-05,0.99134576
641,0.7468396,6.558022e-05,0.9914113
642,0.7457214,6.548203e-05,0.99147683
643,0.74450165,6.537492e-05,0.9915422
644,0.74360514,6.5296204e-05,0.9916075
645,0.7428478,6.52297e-05,0.9916727
646,0.73910004,6.490061e-05,0.9917376
647,0.738223,6.4823595e-05,0.99180245
648,0.73444796,6.449211e-05,0.99186695
649,0.7334765,6.4406806e-05,0.9919314
650,0.7319271,6.427075e-05,0.99199563
651,0.7304184,6.413827e-05,0.99205977
652,0.72855294,6.397446e-05,0.9921237
653,0.7263729,6.378303e-05,0.9921875
654,0.7245393,6.362202e-05,0.9922511
655,0.72352356,6.353283e-05,0.99231464
656,0.7226443,6.345563e-05,0.9923781
657,0.7221297,6.3410436e-05,0.99244153
658,0.71962094,6.319014e-05,0.9925047
659,0.71674407,6.293752e-05,0.99256766
