pc,var_explained,cum_var,direction,library,top_term,top_adj_p,combined_score
3,0.09455450624227524,0.6077548265457153,pos,GO_Molecular_Function_2023,Protein Serine/Threonine Kinase Activity (GO:0004674),0.0078826460579656,41.39276353546926
3,0.09455450624227524,0.6077548265457153,pos,GO_Cellular_Component_2023,Nucleus (GO:0005634),1.5873323761247937e-07,51.11756668092246
3,0.09455450624227524,0.6077548265457153,pos,KEGG_2021_Human,MAPK signaling pathway,0.1064306278030157,25.87033427728741
3,0.09455450624227524,0.6077548265457153,pos,Reactome_2022,Post-translational Protein Modification R-HSA-597592,0.0013670220051779,34.64741699819639
3,0.09455450624227524,0.6077548265457153,pos,WikiPathway_2023_Human,IL 1 Signaling Pathway WP195,0.0034385491279902,140.48713948343524
3,0.09455450624227524,0.6077548265457153,pos,MSigDB_Hallmark_2020,TGF-beta Signaling,0.0005302435571199,140.48713948343524
3,0.09455450624227524,0.6077548265457153,pos,ChEA_2022,CREM 20920259 ChIP-Seq GC1-SPG Mouse,2.6254826254340857e-35,567.2447906819287
3,0.09455450624227524,0.6077548265457153,pos,TRRUST_Transcription_Factors_2019,CTCF human,0.3409644281256898,23.70482996930019
3,0.09455450624227524,0.6077548265457153,pos,Human_Phenotype_Ontology,Supranuclear gaze palsy (HP:0000605),0.4313700015631642,101.78154350719132
3,0.09455450624227524,0.6077548265457153,neg,GO_Biological_Process_2023,Cellular Respiration (GO:0045333),9.418160108385844e-07,324.0465431120925
3,0.09455450624227524,0.6077548265457153,neg,GO_Molecular_Function_2023,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),0.0034064131548314,140.48713948343524
3,0.09455450624227524,0.6077548265457153,neg,GO_Cellular_Component_2023,Mitochondrial Inner Membrane (GO:0005743),0.0001870750683277,65.75520469885187
3,0.09455450624227524,0.6077548265457153,neg,KEGG_2021_Human,Alzheimer disease,6.098047989194225e-06,93.97996499072045
3,0.09455450624227524,0.6077548265457153,neg,Reactome_2022,Respiratory Electron Transport R-HSA-611105,1.2584469648171243e-05,228.2926682430506
3,0.09455450624227524,0.6077548265457153,neg,WikiPathway_2023_Human,Electron Transport Chain OXPHOS System In Mitochondria WP111,0.0002335651697144613,132.72483112511912
3,0.09455450624227524,0.6077548265457153,neg,MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.0001991148899223733,72.93349778920441
3,0.09455450624227524,0.6077548265457153,neg,ChEA_2022,JARID1A 20064375 ChIP-Seq MESCs Mouse,1.3027550221000126e-25,411.34198237676793
3,0.09455450624227524,0.6077548265457153,neg,TRRUST_Transcription_Factors_2019,TBP mouse,0.4623734840750114,44.57906348265406
3,0.09455450624227524,0.6077548265457153,neg,Human_Phenotype_Ontology,Mitochondrial inheritance (HP:0001427),0.23309780685404913,67.46747081104573
4,0.05736606940627098,0.6651208996772766,pos,GO_Biological_Process_2023,Translation (GO:0006412),1.740162970801198e-25,1229.0032053517045
4,0.05736606940627098,0.6651208996772766,pos,GO_Molecular_Function_2023,RNA Binding (GO:0003723),2.2223411506287707e-11,122.946430697907
4,0.05736606940627098,0.6651208996772766,pos,GO_Cellular_Component_2023,Mitochondrial Inner Membrane (GO:0005743),1.290509509957847e-33,1406.6229309089347
4,0.05736606940627098,0.6651208996772766,pos,KEGG_2021_Human,Ribosome,8.31378432727615e-24,1347.117064475344
