pc,var_explained,cum_var,direction,best_term_overall,best_library_overall,best_adj_p_overall,best_combined_overall
65,0.0006985442596487701,0.8964720964431763,pos,Cilium Assembly (GO:0060271),GO_Biological_Process_2023,0.001285979906717141,81.25682781316284
65,0.0006985442596487701,0.8964720964431763,neg,Metallothioneins Bind Metals R-HSA-5661231,Reactome_2022,2.8874546504259942e-05,1437.1155985372875
66,0.0006814923835918307,0.8971536159515381,pos,SRF mouse,TRRUST_Transcription_Factors_2019,0.00010263206524091818,501.12759744627596
66,0.0006814923835918307,0.8971536159515381,neg,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,6.015226574147577e-07,143.16657037615133
67,0.0006494930130429566,0.8978031277656555,pos,Interferon Alpha Response,MSigDB_Hallmark_2020,5.633069669871428e-18,1150.7347003084533
67,0.0006494930130429566,0.8978031277656555,neg,Interferon Gamma Response,MSigDB_Hallmark_2020,4.542034178626336e-06,116.41047380303489
68,0.0006445095059461892,0.8984476327896118,pos,Negative Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043124),GO_Biological_Process_2023,0.07367527677471657,133.16204547949982
68,0.0006445095059461892,0.8984476327896118,neg,Attenuation Phase R-HSA-3371568,Reactome_2022,0.00010773567134272911,474.90568175648224
69,0.000641656806692481,0.8990892767906189,pos,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.01200691616384343,29.684225172013964
69,0.000641656806692481,0.8990892767906189,neg,Lysosome,KEGG_2021_Human,0.0071355992463318085,68.45519120960265
70,0.0006263702525757253,0.8997156620025635,pos,p53 Pathway,MSigDB_Hallmark_2020,0.00817071733741494,41.45060631295679
70,0.0006263702525757253,0.8997156620025635,neg,KRAS Signaling Up,MSigDB_Hallmark_2020,0.035494113196514555,29.684225172013964
71,0.0006125303916633129,0.9003282189369202,pos,SP1 human,TRRUST_Transcription_Factors_2019,0.001082627292835237,47.693180414489525
71,0.0006125303916633129,0.9003282189369202,neg,Interferon Alpha Response,MSigDB_Hallmark_2020,8.763771333118118e-09,327.7204233457464
72,0.0005962408613413572,0.9009244441986084,pos,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,4.774959008299482e-06,116.41047380303489
72,0.0005962408613413572,0.9009244441986084,neg,Response To Prostaglandin E (GO:0034695),GO_Biological_Process_2023,0.0027800009137579447,885.3932781130271
73,0.000584666442591697,0.9015091061592102,pos,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),GO_Biological_Process_2023,0.03291751528379233,79.08009765878464
73,0.000584666442591697,0.9015091061592102,neg,Apelin signaling pathway,KEGG_2021_Human,0.0021054319605628346,83.42446215718783
74,0.0005670244572684169,0.9020761251449585,pos,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,0.00011685770965145821,271.6737617174621
74,0.0005670244572684169,0.9020761251449585,neg,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.000233248871051923,72.93349778920441
75,0.0005507759051397443,0.9026268720626831,pos,Intermediate Filament Organization (GO:0045109),GO_Biological_Process_2023,0.006240590336847212,142.7747286438201
75,0.0005507759051397443,0.9026268720626831,neg,Integrin Cell Surface Interactions R-HSA-216083,Reactome_2022,0.0008728456654185917,150.08231117190402
76,0.0005466867587529123,0.903173565864563,pos,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0038953419864420067,41.45060631295679
76,0.0005466867587529123,0.903173565864563,neg,Regulation Of Angiogenesis (GO:0045765),GO_Biological_Process_2023,0.05695892272048728,53.24364261140229
77,0.0005435905186459422,0.9037171602249146,pos,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.03642816880694915,29.684225172013964
77,0.0005435905186459422,0.9037171602249146,neg,Interferon Alpha Response,MSigDB_Hallmark_2020,1.355558637105695e-07,259.51326916582286
78,0.0005351024447008967,0.904252290725708,pos,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0026602335517164925,41.45060631295679
78,0.0005351024447008967,0.904252290725708,neg,Response To Estrogen (GO:0043627),GO_Biological_Process_2023,0.03148399611309046,188.3662067044033
79,0.0005298618925735354,0.9047821760177612,pos,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",Reactome_2022,0.000993053469949405,118.76495565901693
79,0.0005298618925735354,0.9047821760177612,neg,Steroid biosynthesis,KEGG_2021_Human,5.918468460258774e-06,754.3356554423916
80,0.0005246629589237273,0.9053068161010742,pos,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,2.977789531303892e-05,93.06883213570319
80,0.0005246629589237273,0.9053068161010742,neg,Nectin/Necl Trans Heterodimerization R-HSA-420597,Reactome_2022,0.01610052925643894,776.6239908457204
81,0.0005077669629827142,0.9058145880699158,pos,Estrogen Response Late,MSigDB_Hallmark_2020,0.007600667290618549,41.45060631295679
81,0.0005077669629827142,0.9058145880699158,neg,RELA human,TRRUST_Transcription_Factors_2019,0.0007538762236605815,53.67340738981627
82,0.00048807499115355313,0.9063026905059814,pos,mTORC1 Signaling,MSigDB_Hallmark_2020,0.0013148360874761043,55.79685681599258
82,0.00048807499115355313,0.9063026905059814,neg,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.03175789075477618,29.684225172013964
83,0.00048700414481572807,0.9067897200584412,pos,Signaling By FGFR1 R-HSA-5654736,Reactome_2022,0.09337982738450866,103.29659526813114
83,0.00048700414481572807,0.9067897200584412,neg,Interferon Gamma Response,MSigDB_Hallmark_2020,0.0002446268647617729,72.93349778920441
84,0.00047598229139111936,0.9072657227516174,pos,Phospholipase D signaling pathway,KEGG_2021_Human,0.013424305287739826,52.634337002102534
84,0.00047598229139111936,0.9072657227516174,neg,STAT6 mouse,TRRUST_Transcription_Factors_2019,0.07115960305433065,176.1280286078286
85,0.00047408530372194946,0.9077398180961609,pos,Herpes simplex virus 1 infection,KEGG_2021_Human,0.024770169698746358,28.46969601105985
85,0.00047408530372194946,0.9077398180961609,neg,heme Metabolism,MSigDB_Hallmark_2020,0.03642816880694915,29.684225172013964
86,0.00046762064448557794,0.9082074165344238,pos,Myogenesis,MSigDB_Hallmark_2020,0.03923033563825293,29.684225172013964
86,0.00046762064448557794,0.9082074165344238,neg,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,6.664776556723301e-08,173.54680844809113
87,0.00046433438546955585,0.9086717367172241,pos,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.0014878408358282233,55.79685681599258
87,0.00046433438546955585,0.9086717367172241,neg,heme Metabolism,MSigDB_Hallmark_2020,0.001349437037146528,55.79685681599258
88,0.0004579466476570815,0.9091296792030334,pos,Cholesterol Homeostasis,MSigDB_Hallmark_2020,0.0003952965259027968,123.88179542501636
88,0.0004579466476570815,0.9091296792030334,neg,Myogenesis,MSigDB_Hallmark_2020,0.007600667290618549,41.45060631295679
89,0.0004533681785687804,0.9095830321311951,pos,Hypoxia,MSigDB_Hallmark_2020,0.007220633926087622,41.45060631295679
