,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
EEF1E1,-0.020128489,-0.38701296,0.20492077,-0.38229227,0.26159585,-0.01668632,-0.54208636,-0.013583899,-0.23276508,-0.05802512,-0.06286204,-0.10705888,0.5419582,0.10678172,1.1493921,0.44488907
EEF1G,0.15702844,-0.06792545,0.31446218,0.34974217,0.045144558,-0.42734146,0.1749754,0.056254864,-0.5418837,0.27974248,0.05300045,-0.38377643,-0.25434494,0.21598935,0.9154916,0.51493645
EEF2,0.2253294,0.3446579,0.03604293,0.48716068,-0.17856956,-0.3497362,0.25793314,0.124543905,-0.16007423,0.33293366,0.2677083,-0.07303953,-0.36731958,0.17892122,0.9150624,0.15351772
EEF2K,0.011855364,0.41773915,-0.026160479,0.5492866,-0.09471774,-0.23831725,0.30472875,0.12857318,-0.029659271,0.25271773,0.095784664,-0.046288967,-0.2938509,0.03746152,1.3863027,-0.11666417
EEF2KMT,-0.06814301,0.43316483,0.001552701,0.13429224,-0.4908219,0.017888844,0.0063478947,0.1614064,-0.13772547,0.63470304,0.04044473,-0.3280565,-0.2366826,-0.021459162,0.8730635,0.068849325
EEFSEC,0.012493134,0.36397576,0.14903545,0.37466288,-0.4752636,-0.3567338,0.53272843,0.035572052,-0.42774677,0.4692614,0.30017495,-0.15386343,-0.40055513,0.1496315,0.911963,-0.0034809113
EEPD1,0.0011593103,-0.073325634,0.0251621,0.13528764,-0.1912117,0.2029419,1.1352062,0.06386042,0.022163987,0.032010674,-0.082311034,-0.44211745,-0.21750033,0.0054746866,0.017100573,-0.9293616
EFCAB11,0.23566484,-0.030523539,0.13153553,-0.3381133,-0.012844801,-0.05837381,0.19446611,0.033694506,0.058051944,0.48536062,-0.10839701,0.20472407,0.048428774,-0.04414022,1.505062,-0.059378147
EFCAB13,-0.282982,0.18502772,-0.26423633,0.41497946,-0.01873672,-0.058943033,-0.16801655,-0.23325086,-0.0030726194,0.10668337,0.20828545,-0.07815659,0.19623339,0.052806735,1.0625333,-0.19719899
EFCAB14,-0.26961267,0.39256215,-0.18975735,0.23692846,-0.32553375,-0.002193451,-0.2957791,-0.0067561865,0.049632788,0.30951798,0.31352937,-0.09826124,-0.07289946,0.05582869,1.271677,-0.44021904
