col,pc,rho,p,n
SM3PBSD,PC1,-0.4415230123325708,1.2203592122470499e-39,803
SM3PBSD,PC2,-0.26515715363837666,2.1845074659600085e-14,803
SM3PBSD,PC6,-0.06097380698724277,0.08421337049131762,803
SM3PBMD,PC1,-0.19355979113844218,3.2247251502627274e-08,803
SM3PBMD,PC2,-0.08355856454052385,0.01787127077973692,803
SM3PBMD,PC6,-0.21792320868493426,4.351092378571014e-10,803
SM3PB25P,PC1,-0.07363911760569777,0.03695028744708162,803
SM3PB25P,PC2,-0.10375298474749516,0.0032458473350239466,803
SM3PB25P,PC6,-0.14082011657918433,6.222545246948958e-05,803
SM3PB75P,PC1,-0.3149697888452822,5.949118961317038e-20,803
SM3PB75P,PC2,-0.1537688214285476,1.2051551878417162e-05,803
SM3PB75P,PC6,-0.19561340790259038,2.289232911961695e-08,803
SM3PBSDM,PC1,-0.3116751659758127,1.5034899666148043e-19,803
SM3PBSDM,PC2,-0.0441939374289887,0.2109362139027906,803
SM3PBSDM,PC6,0.0711762750112959,0.043762754801974606,803
SM3PBGN,PC1,0.3073601497160113,4.975546812403356e-19,803
SM3PBGN,PC2,0.5719555487316692,5.9860206398157586e-71,803
SM3PBGN,PC6,-0.17804990338573598,3.8099604130260567e-07,803
SMMDMNCV,PC1,0.6481489238946662,7.267443347786468e-97,803
SMMDMNCV,PC2,0.44377163079842025,4.504867520997579e-40,803
SMMDMNCV,PC6,-0.07949375598537528,0.02427860817767738,803
SMMDCVSD,PC1,0.6394027018590711,1.6313052221710987e-93,803
SMMDCVSD,PC2,0.4292253213598191,2.4939225428744327e-37,803
SMMDCVSD,PC6,-0.08138348995385149,0.021087233313815585,803
SMMDCVCV,PC1,-0.5122149343184518,6.452951971334037e-55,803
SMMDCVCV,PC2,-0.5237797431435484,8.949729571980359e-58,803
SMMDCVCV,PC6,-0.06920183558833105,0.049962408962833986,803
SMEXCVMD,PC1,-0.4725653360397143,6.5476239004140444e-46,803
SMEXCVMD,PC2,-0.4582649334923499,6.095711650863145e-43,803
SMEXCVMD,PC6,-0.04107332993100564,0.24499876427625866,803
SMEXCVMAD,PC1,-0.5603853945782905,1.3806247292234618e-67,803
SMEXCVMAD,PC2,-0.3622241370865153,2.652276955561666e-26,803
SMEXCVMAD,PC6,-0.0438809650920672,0.21418956940804454,803
