tissue,pc,score
blood,2,-24.337356567382812
blood,2,-22.855392456054688
blood,2,28.567373275756836
blood,2,-64.83177185058594
blood,2,53.69815444946289
blood,2,33.31685256958008
blood,2,-2.676053047180176
blood,2,-100.33953094482422
blood,2,-25.569520950317383
blood,2,14.734703063964844
blood,2,-30.96299171447754
blood,2,-45.80804443359375
blood,2,-2.6399176120758057
blood,2,-10.022027015686035
blood,2,-72.1264419555664
blood,2,83.30941772460938
blood,2,20.343427658081055
blood,2,31.390541076660156
blood,2,-44.80266571044922
blood,2,76.03590393066406
blood,2,-80.20979309082031
blood,2,-15.148883819580078
blood,2,-6.902585983276367
blood,2,50.73220443725586
blood,2,-37.53898239135742
blood,2,14.139341354370117
blood,2,-45.80015563964844
blood,2,-30.36479949951172
blood,2,-11.810430526733398
blood,2,-63.162837982177734
blood,2,59.463958740234375
blood,2,-68.56092071533203
blood,2,-26.0161075592041
blood,2,-29.401031494140625
blood,2,50.29948425292969
blood,2,-19.579288482666016
blood,2,-48.72929000854492
blood,2,75.24217224121094
blood,2,25.946224212646484
blood,2,3.4344325065612793
blood,2,16.096202850341797
blood,2,55.487396240234375
blood,2,56.280765533447266
blood,2,9.343074798583984
blood,2,76.46197509765625
blood,2,-13.282390594482422
blood,2,-32.57630157470703
blood,2,-63.54166793823242
blood,2,17.492048263549805
blood,2,-37.967647552490234
blood,2,-56.124603271484375
blood,2,3.3619136810302734
blood,2,-41.718177795410156
blood,2,76.17214965820312
blood,2,-104.1091079711914
blood,2,45.41736602783203
blood,2,23.155405044555664
blood,2,-41.00295639038086
blood,2,-28.9871768951416
blood,2,-33.541175842285156
blood,2,-82.06926727294922
blood,2,56.64010238647461
blood,2,21.294946670532227
blood,2,-39.81605529785156
blood,2,-51.507423400878906
blood,2,-50.487648010253906
blood,2,-24.14308738708496
blood,2,-11.528182029724121
blood,2,-82.7219009399414
blood,2,-16.702436447143555
blood,2,9.77726936340332
blood,2,-49.047821044921875
blood,2,-4.058164119720459
blood,2,-84.88784790039062
blood,2,-8.189240455627441
blood,2,-23.10976219177246
blood,2,-8.854069709777832
blood,2,1.6660963296890259
blood,2,-13.740904808044434
blood,2,73.41789245605469
blood,2,7.863847732543945
blood,2,-57.78578567504883
blood,2,-2.355586051940918
blood,2,-27.722105026245117
blood,2,-26.601734161376953
blood,2,-50.416019439697266
blood,2,6.461167335510254
blood,2,-57.55967712402344
blood,2,16.221080780029297
blood,2,-14.909722328186035
blood,2,-26.95580291748047
