pc,var_explained_pct,cum_var_pct,pos_term,pos_library,pos_adj_p,neg_term,neg_library,neg_adj_p,best_continuous_var,best_continuous_rho,best_categorical_var,best_categorical_eta2
14,0.60705408,79.93209,Interferon Gamma Response,MSigDB_Hallmark_2020,3.657436366720792e-58,"Platelet Activation, Signaling And Aggregation R-HSA-76002",Reactome_2022,4.203996711931309e-08,SMTSISCH,0.0850262599907705,SMNABTCH,0.1658688554982588
15,0.57236357,80.504453,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,5.287337107008398e-07,heme Metabolism,MSigDB_Hallmark_2020,3.5265319830518265e-14,AGE_mid,0.1193590907413314,SMNABTCH,0.2547177811166957
16,0.5120971999999999,81.01655,Myogenesis,MSigDB_Hallmark_2020,6.664776556723301e-08,MYC 19030024 ChIP-ChIP MESCs Mouse,ChEA_2022,7.461244251250775e-08,DTHHRDY,0.0353796654720733,SMNABTCH,0.203275593832312
17,0.47454713,81.4911,CREM 20920259 ChIP-Seq GC1-SPG Mouse,ChEA_2022,8.890735274741643e-25,Interferon Gamma Response,MSigDB_Hallmark_2020,7.604061725786794e-47,SMRIN,0.1134754210549227,SMNABTCH,0.2291988128223485
18,0.42092989999999997,81.91203,Hemostasis R-HSA-109582,Reactome_2022,7.20976301411154e-11,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,1.7426013920805668e-11,SMRIN,0.1350364124817124,SMNABTCH,0.1518244358829214
19,0.40225143999999996,82.31428,Metabolism R-HSA-1430728,Reactome_2022,6.724850020156086e-14,Hemostasis R-HSA-109582,Reactome_2022,2.398967554682294e-13,SMRIN,0.1200356617332872,SMNABTCH,0.1719137458403253
20,0.39399112999999997,82.708275,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,6.434223178231771e-20,GATA2 19941826 ChIP-Seq K562 Human,ChEA_2022,6.085533312134782e-11,AGE_mid,0.0652009667783252,SMNABTCH,0.2669631641473588
21,0.35869277,83.06697,RXR 22158963 ChIP-Seq LIVER Mouse,ChEA_2022,2.6281954325572222e-19,VDR 24763502 ChIP-Seq THP-1 Human,ChEA_2022,0.0003524361531974,SMRIN,0.0781002566511668,SMNABTCH,0.2830934287909233
22,0.34185129000000003,83.40881999999999,Interferon Alpha Response,MSigDB_Hallmark_2020,1.9026169783559493e-42,OLIG2 26023283 ChIP-Seq AINV15 Mouse,ChEA_2022,2.503950552682652e-05,SMRIN,0.0720151689854002,SMNABTCH,0.1758484548192851
23,0.32572525,83.73455,Hemostasis R-HSA-109582,Reactome_2022,1.1359243243571349e-11,Interferon Alpha Response,MSigDB_Hallmark_2020,6.97876342398779e-24,SMTSISCH,0.0991686847875047,SMNABTCH,0.1565749235465821
24,0.29527599,84.02982399999999,KDM2B 26808549 Chip-Seq HPB-ALL Human,ChEA_2022,6.385371045851955e-16,Interferon Alpha Response,MSigDB_Hallmark_2020,5.504313951619101e-32,SMRIN,0.0898714073690058,SMNABTCH,0.2099164300498364
25,0.27743368,84.30726,Neutrophil Degranulation R-HSA-6798695,Reactome_2022,1.4325156745731085e-07,RUNX2 24655370 ChIP-Seq MC3T3E1 Mouse Bone,ChEA_2022,2.1882077679192925e-07,SMRIN,0.1709453339199525,SMNABTCH,0.1997068578927353
26,0.2715919,84.578854,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,5.047493429545654e-13,Glycolytic Process (GO:0006096),GO_Biological_Process_2023,1.0560383723665657e-08,AGE_mid,0.0880614492932286,SMNABTCH,0.1871582697164205
27,0.24620541,84.825057,Myogenesis,MSigDB_Hallmark_2020,7.3926650381007814e-09,Interferon Gamma Response,MSigDB_Hallmark_2020,3.2330286339870824e-05,SMRIN,0.0370477391934456,SMNABTCH,0.167796140373797
28,0.24267824,85.06774,STAT6 20620947 ChIP-Seq CD4 POS T Human,ChEA_2022,8.600581260804622e-07,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,2.9249159010851733e-08,SMRIN,0.0511416063306749,SMNABTCH,0.1731921543935376
29,0.22599855000000002,85.293734,Interferon Alpha Response,MSigDB_Hallmark_2020,1.0504392349535422e-53,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),GO_Molecular_Function_2023,2.9176965715606745e-08,SMRDLGTH,0.0553183370244611,SMNABTCH,0.2113321112298342
30,0.21879855,85.51253,CD22 Mediated BCR Regulation R-HSA-5690714,Reactome_2022,5.9466938579690025e-05,T Cell Receptor Complex (GO:0042101),GO_Cellular_Component_2023,3.567886214580432e-06,SMRDLGTH,0.0544057353027389,SMNABTCH,0.1407170550730368
31,0.20718646999999998,85.71971699999999,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome_2022,2.085697249159535e-05,Axon Guidance R-HSA-422475,Reactome_2022,0.0124184769477839,AGE_mid,0.0800288872407416,SMNABTCH,0.1358776214534829
32,0.20060836999999998,85.92031999999999,Myogenesis,MSigDB_Hallmark_2020,6.493192044686945e-11,"Cell Cycle, Mitotic R-HSA-69278",Reactome_2022,1.0768369889489322e-05,SMTSISCH,0.0519639471164001,SMGEBTCH,0.2567881102176345
33,0.18674486,86.10707,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,2.1696551995791375e-05,Metabolism Of Amino Acids And Derivatives R-HSA-71291,Reactome_2022,2.2302884187990798e-13,SMRDLGTH,0.0469460222385539,SMNABTCH,0.2404526604607092
34,0.17801345,86.285084,heme Metabolism,MSigDB_Hallmark_2020,0.007790683972884,Skeletal Muscle Contraction (GO:0003009),GO_Biological_Process_2023,0.0010927027535059,AGE_mid,0.0366891953745239,SMNABTCH,0.2619743222674095
35,0.17158091,86.45667,heme Metabolism,MSigDB_Hallmark_2020,8.4669589360736665e-19,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,3.3264681091065657e-10,DTHHRDY,0.0454425743453492,SMNABTCH,0.1802359243711655
36,0.17102308,86.62769,Endodermal Cell Differentiation (GO:0035987),GO_Biological_Process_2023,0.0168865542512163,Interferon Alpha Response,MSigDB_Hallmark_2020,0.0176639895274253,DTHHRDY,0.0501596751246569,SMNABTCH,0.1897503510083929
37,0.15501676,86.782706,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,3.5352279389990565e-10,heme Metabolism,MSigDB_Hallmark_2020,3.57334743756467e-05,SMRIN,0.1180901891333891,SMGEBTCH,0.2133230530824789
38,0.15123796,86.933947,Myogenesis,MSigDB_Hallmark_2020,4.50636754148757e-13,Antigen processing and presentation,KEGG_2021_Human,0.0027663183446602,SMRDLGTH,0.0670086751574179,SMNABTCH,0.1608608941931922
